BCN,Article,Size,Brand,Colour,MRP,SalesPrice,TotalQty,ItemCode,ItemName
G004IS,JACKET BLUE,10,CHINUZ,,1300.0,1100.0,1.0,1294,KURTA PAYJAMA BOYS
G004IV,YELLOW,12,CHINUZ,,1020.0,820.0,1.0,1294,KURTA PAYJAMA BOYS
G004IW,BLACK,12,CHINUZ,,1020.0,820.0,1.0,1294,KURTA PAYJAMA BOYS
G004J0,WHITE,12,CHINUZ,,1050.0,850.0,1.0,1294,KURTA PAYJAMA BOYS
G004J2,WHITE,14,CHINUZ,,1050.0,850.0,1.0,1294,KURTA PAYJAMA BOYS
G004J4,BOTTLE GRE,14,CHINUZ,,1050.0,850.0,1.0,1294,KURTA PAYJAMA BOYS
G004J6,MUSTARD,14,CHINUZ,,1050.0,850.0,1.0,1294,KURTA PAYJAMA BOYS
G004J7,BLACK,14,CHINUZ,,1050.0,850.0,1.0,1294,KURTA PAYJAMA BOYS
G004J8,YELLOW,14,CHINUZ,,1050.0,850.0,1.0,1294,KURTA PAYJAMA BOYS
G004J9,YELLOW,14,CHINUZ,,1050.0,850.0,1.0,1294,KURTA PAYJAMA BOYS
G004JA,SEQ-ORANGE,14,CHINUZ,,1120.0,920.0,1.0,1294,KURTA PAYJAMA BOYS
G004JB,YELLOW,16,CHINUZ,,1020.0,820.0,1.0,1294,KURTA PAYJAMA BOYS
G004JD,MUSTARD,16,CHINUZ,,1020.0,820.0,1.0,1294,KURTA PAYJAMA BOYS
G004JF,BOTTLE GRE,16,CHINUZ,,1020.0,820.0,1.0,1294,KURTA PAYJAMA BOYS
G004JJ,SEQ-YELLOW,16,CHINUZ,,1120.0,920.0,1.0,1294,KURTA PAYJAMA BOYS
G004JN,12223,22,JEANS TOP,,940.0,840.0,1.0,1280,GIRLS DRESS
G004JO,11914,18,JEANS TOP,,940.0,840.0,1.0,1280,GIRLS DRESS
G004JQ,11914,20,JEANS TOP,,940.0,840.0,1.0,1280,GIRLS DRESS
G004JT,11914,22,JEANS TOP,,940.0,840.0,1.0,1280,GIRLS DRESS
G004JW,PLAIN,26,MOM'S,,575.0,460.0,1.0,1328,SHIRT BOYS KURTA
G004JX,PLAIN,26,MOM'S,,575.0,460.0,1.0,1328,SHIRT BOYS KURTA
G004JY,PLAIN,26,MOM'S,,575.0,460.0,1.0,1328,SHIRT BOYS KURTA
G004K5,PLAIN,30,MOM'S,,575.0,460.0,1.0,1328,SHIRT BOYS KURTA
G004K6,PLAIN,30,MOM'S,,575.0,460.0,1.0,1328,SHIRT BOYS KURTA
G004K8,PLAIN,32,MOM'S,,575.0,460.0,1.0,1328,SHIRT BOYS KURTA
G004K9,PLAIN,32,MOM'S,,575.0,460.0,1.0,1328,SHIRT BOYS KURTA
G004KA,6082,32,JEANS TOP,,940.0,840.0,1.0,1280,GIRLS DRESS
G004KE,PLAIN,34,MOM'S,,575.0,460.0,1.0,1328,SHIRT BOYS KURTA
G004KJ,POPCORN,26,MOM'S,,414.0,340.0,1.0,1326,SHIRT BOYS F/S
G004KN,POPCORN,26,MOM'S,,414.0,340.0,1.0,1326,SHIRT BOYS F/S
G004KP,POPCORN,28,MOM'S,,414.0,340.0,1.0,1326,SHIRT BOYS F/S
G004KR,POPCORN,28,MOM'S,,414.0,340.0,1.0,1326,SHIRT BOYS F/S
G004KS,POPCORN,28,MOM'S,,414.0,340.0,1.0,1326,SHIRT BOYS F/S
G004LD,6050,24,JEANS TOP,,900.0,800.0,1.0,1280,GIRLS DRESS
G004LE,PRINT,26,MOM'S,,438.0,360.0,1.0,1326,SHIRT BOYS F/S
G004LG,PRINT,26,MOM'S,,438.0,360.0,1.0,1326,SHIRT BOYS F/S
G004LL,6050,26,JEANS TOP,,900.0,800.0,1.0,1280,GIRLS DRESS
G004LM,PRINT,28,MOM'S,,438.0,360.0,1.0,1326,SHIRT BOYS F/S
G004LO,PRINT,28,MOM'S,,438.0,360.0,1.0,1326,SHIRT BOYS F/S
G004LP,PRINT,28,MOM'S,,438.0,360.0,1.0,1326,SHIRT BOYS F/S
G004LQ,PRINT,28,MOM'S,,438.0,360.0,1.0,1326,SHIRT BOYS F/S
G004LR,PRINT,28,MOM'S,,438.0,360.0,1.0,1326,SHIRT BOYS F/S
G004LU,PRINT,30,MOM'S,,438.0,360.0,1.0,1326,SHIRT BOYS F/S
G004M4,PRINT,32,MOM'S,,438.0,360.0,1.0,1326,SHIRT BOYS F/S
G004MA,PRINT,34,MOM'S,,438.0,360.0,1.0,1326,SHIRT BOYS F/S
G004MC,6050,28,JEANS TOP,,900.0,800.0,1.0,1280,GIRLS DRESS
G004NL,6050,18,JEANS TOP,,830.0,730.0,1.0,1280,GIRLS DRESS
G004NQ,SHIRT,36,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004NR,SHIRT,36,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004NS,SHIRT,36,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004NV,SHIRT,36,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004NW,SHIRT,36,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004NX,SHIRT,36,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004NZ,SHIRT,36,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004O0,SHIRT,36,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004O3,SHIRT,36,4G,,350.0,250.0,1.0,1326,SHIRT BOYS F/S
G004O6,SHIRT,36,HIG,,510.0,410.0,1.0,1326,SHIRT BOYS F/S
G004O7,SHIRT,36,HIG,,510.0,410.0,1.0,1326,SHIRT BOYS F/S
G004O8,SHIRT,36,HIG,,520.0,420.0,1.0,1326,SHIRT BOYS F/S
G004OB,SHIRT,36,HIG,,520.0,420.0,1.0,1326,SHIRT BOYS F/S
G004OC,SHIRT,36,ANG,,450.0,350.0,1.0,1326,SHIRT BOYS F/S
G004OD,SHIRT,36,ANG,,450.0,350.0,1.0,1326,SHIRT BOYS F/S
G004OH,SHIRT,36,4G,,400.0,300.0,1.0,1326,SHIRT BOYS F/S
G004OJ,SHIRT,36,ANG,,440.0,340.0,1.0,1326,SHIRT BOYS F/S
G004ON,SHIRT,36,ANG,,420.0,320.0,1.0,1326,SHIRT BOYS F/S
G004OR,SHIRT,34,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004OT,SHIRT,34,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004OU,SHIRT,34,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004OV,SHIRT,34,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004OW,SHIRT,34,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004OY,SHIRT,34,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004OZ,SHIRT,34,ANG,,560.0,460.0,1.0,1326,SHIRT BOYS F/S
G004P3,SHIRT,34,ANG,,420.0,320.0,1.0,1326,SHIRT BOYS F/S
G004P4,SHIRT,34,ANG,,420.0,320.0,1.0,1326,SHIRT BOYS F/S
G004P6,SHIRT,34,HIG,,510.0,410.0,1.0,1326,SHIRT BOYS F/S
G004P7,SHIRT,34,HIG,,510.0,410.0,1.0,1326,SHIRT BOYS F/S
G004P8,SHIRT,34,HIG,,510.0,410.0,1.0,1326,SHIRT BOYS F/S
G004P9,SHIRT,34,HIG,,510.0,410.0,1.0,1326,SHIRT BOYS F/S
G004PA,SHIRT,34,HIG,,530.0,430.0,1.0,1326,SHIRT BOYS F/S
G004PF,SHIRT,34,4G,,350.0,250.0,1.0,1326,SHIRT BOYS F/S
G004PI,SHIRT,32,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004PJ,SHIRT,32,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004PM,SHIRT,32,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004PN,SHIRT,32,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004PO,SHIRT,32,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004PP,SHIRT,32,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004PT,SHIRT,32,4G,,350.0,250.0,1.0,1326,SHIRT BOYS F/S
G004PU,6196,18,JEANS TOP,,840.0,740.0,1.0,1280,GIRLS DRESS
G004PV,SHIRT,32,HIG,,510.0,410.0,1.0,1326,SHIRT BOYS F/S
G004PW,SHIRT,32,HIG,,510.0,410.0,1.0,1326,SHIRT BOYS F/S
